siteID,seas,yr,Criteria1,Criteria2,Criteria3,Ca,Mg,K,Na,NH4,NO3,totalN,Cl,SO4,hplus,svol,ppt,fullChemLab,daysSample,startDate,endDate
CO91,Annual,1992,51,59,89,0.484926,0.0484926,0.080821,0.2182167,0.5010902,4.3724161,1.377,0.323284,3.6450271,.079,38201.3,80.821,25,364,"May 26 1992 12:00AM","Dec 29 1992 12:00AM"
CO91,Annual,1993,79,99,84,1.4418936,0.1765584,0.2059848,0.6473808,1.3094748,9.2840292,3.115,0.8239392,9.4311612,.171,55916.2,147.132,42,371,"Dec 29 1992 12:00AM","Jan  4 1994 12:00AM"
CO91,Annual,1994,79,100,89,1.86636,0.171083,0.279954,0.684332,1.384217,9.456224,3.212,0.964286,8.694127,.178,60283.3,155.530,41,364,"Jan  4 1994 12:00AM","Jan  3 1995 12:00AM"
CO91,Annual,1995,76,100,77,1.537599,0.1610818,0.1610818,0.5711082,1.4204486,10.104222,3.386,0.7468338,8.9473618,.207,53370.9,146.438,37,364,"Jan  3 1995 12:00AM","Jan  2 1996 12:00AM"
CO91,Annual,1996,77,100,90,4.682412,0.3270256,0.2824312,0.9364824,1.709452,11.4756256,3.921,1.0999952,10.0486048,.158,57041.7,148.648,37,364,"Jan  2 1996 12:00AM","Dec 31 1996 12:00AM"
CO91,Annual,1997,82,100,90,2.16944,0.201448,0.247936,0.681824,1.39464,12.179856,3.835,0.945256,9.127144,.198,71781.9,154.960,37,364,"Dec 31 1996 12:00AM","Dec 30 1997 12:00AM"
CO91,Annual,1998,82,100,85,2.233136,0.2093565,0.1814423,0.5303698,1.1444822,8.6952733,2.854,0.7397263,7.8438902,.142,55987.5,139.571,38,364,"Dec 30 1997 12:00AM","Dec 29 1998 12:00AM"
CO91,Annual,1999,75,98,92,4.1573007,0.2445471,0.2188053,0.5405778,0.8880921,8.7779538,2.673,0.643545,6.306741,.130,60950.7,128.709,30,369,"Dec 29 1998 12:00AM","Jan  2 2000 12:00AM"
CO91,Annual,2000,73,100,74,2.2124528,0.1683388,0.180363,0.3847744,1.022057,10.6173686,3.193,0.5771616,5.771616,.131,40791.5,120.242,37,366,"Jan  2 2000 12:00AM","Jan  2 2001 12:00AM"
CO91,Annual,2001,82,100,90,1.7663425,0.1651975,0.1906125,0.40664,1.16909,9.75936,3.113,0.6226675,5.972525,.122,50249.0,127.075,43,364,"Jan  2 2001 12:00AM","Jan  1 2002 12:00AM"
CO91,Annual,2002,80,100,83,1.7162684,0.1416338,0.1416338,0.3582502,1.3996752,7.9481556,2.883,0.499884,4.4906246,.064,37932.2,83.314,33,364,"Jan  1 2002 12:00AM","Dec 31 2002 12:00AM"
CO91,Annual,2003,73,100,82,1.6735536,0.1394628,0.2789256,0.1975723,1.16219,7.4961255,2.596,0.4067665,4.2187497,.095,44693.8,116.219,33,364,"Dec 31 2002 12:00AM","Dec 30 2003 12:00AM"
