siteID,seas,yr,Criteria1,Criteria2,Criteria3,Ca,Mg,K,Na,NH4,NO3,totalN,Cl,SO4,hplus,svol,ppt,fullChemLab,daysSample,startDate,endDate
CO91,Annual,1992,51,59,89,-9,-9,-9,-9,-9,-9,-9.000,-9,-9,-9.000,38201.3,80.821,25,364,"May 26 1992 12:00AM","Dec 29 1992 12:00AM"
CO91,Annual,1993,79,99,84,-9,-9,-9,-9,-9,-9,-9.000,-9,-9,-9.000,55916.2,147.132,42,371,"Dec 29 1992 12:00AM","Jan  4 1994 12:00AM"
CO91,Annual,1994,79,100,89,-9,-9,-9,-9,-9,-9,-9.000,-9,-9,-9.000,60283.3,155.530,41,364,"Jan  4 1994 12:00AM","Jan  3 1995 12:00AM"
CO91,Annual,1995,76,100,77,-9,-9,-9,-9,-9,-9,-9.000,-9,-9,-9.000,53370.9,146.438,37,364,"Jan  3 1995 12:00AM","Jan  2 1996 12:00AM"
CO91,Annual,1996,77,100,90,-9,-9,-9,-9,-9,-9,-9.000,-9,-9,-9.000,57041.7,148.648,37,364,"Jan  2 1996 12:00AM","Dec 31 1996 12:00AM"
CO91,Annual,1997,82,100,90,-9,-9,-9,-9,-9,-9,-9.000,-9,-9,-9.000,71781.9,154.960,37,364,"Dec 31 1996 12:00AM","Dec 30 1997 12:00AM"
CO91,Annual,1998,82,100,85,-9,-9,-9,-9,-9,-9,-9.000,-9,-9,-9.000,55987.5,139.571,38,364,"Dec 30 1997 12:00AM","Dec 29 1998 12:00AM"
CO91,Annual,1999,75,98,92,4.1573007,0.2445471,0.2188053,0.5405778,0.8880921,8.7779538,2.673,0.643545,6.306741,.130,60950.7,128.709,30,369,"Dec 29 1998 12:00AM","Jan  2 2000 12:00AM"
CO91,Annual,2000,73,100,74,-9,-9,-9,-9,-9,-9,-9.000,-9,-9,-9.000,40791.5,120.242,37,366,"Jan  2 2000 12:00AM","Jan  2 2001 12:00AM"
CO91,Annual,2001,82,100,90,-9,-9,-9,-9,-9,-9,-9.000,-9,-9,-9.000,50249.0,127.075,43,364,"Jan  2 2001 12:00AM","Jan  1 2002 12:00AM"
CO91,Annual,2002,80,100,83,1.7162684,0.1416338,0.1416338,0.3582502,1.3996752,7.9481556,2.883,0.499884,4.4906246,.064,37932.2,83.314,33,364,"Jan  1 2002 12:00AM","Dec 31 2002 12:00AM"
CO91,Annual,2003,73,100,82,-9,-9,-9,-9,-9,-9,-9.000,-9,-9,-9.000,44693.8,116.219,33,364,"Dec 31 2002 12:00AM","Dec 30 2003 12:00AM"
CO91,Annual,2004,81,100,95,-9,-9,-9,-9,-9,-9,-9.000,-9,-9,-9.000,65231.2,132.634,39,366,"Dec 30 2003 12:00AM","Dec 30 2004 12:00AM"
CO91,Annual,2005,84,100,97,-9,-9,-9,-9,-9,-9,-9.000,-9,-9,-9.000,67667.6,137.430,40,362,"Dec 30 2004 12:00AM","Dec 27 2005 12:00AM"
CO91,Annual,2006,84,98,85,2.9145844,0.2722414,0.3523124,0.640568,1.8736614,11.8344938,4.129,0.9768662,6.886106,.115,64228.2,160.142,41,371,"Dec 27 2005 12:00AM","Jan  2 2007 12:00AM"
CO91,Annual,2007,84,100,84,2.9867712,0.266676,0.3466788,0.5866872,1.8800658,9.8803458,3.693,0.7866942,6.1868832,.106,61120.0,133.338,41,364,"Jan  2 2007 12:00AM","Jan  1 2008 12:00AM"
CO91,Annual,2008,78,100,84,3.415932,0.240867,0.3394035,0.503631,1.335717,8.167581,2.883,0.635013,4.6531125,.070,50563.1,109.485,37,364,"Jan  1 2008 12:00AM","Dec 30 2008 12:00AM"
CO91,Annual,2009,85,96,94,11.0860874,0.4775858,0.6401682,1.0974312,1.8696976,9.4094564,3.578,1.0567856,6.655717,.051,47919.7,101.614,38,364,"Dec 30 2008 12:00AM","Dec 29 2009 12:00AM"
CO91,Annual,2010,89,100,95,-9,-9,-9,-9,-9,-9,-9.000,-9,-9,-9.000,67452.3,135.499,46,367,"Dec 29 2009 12:00AM","Dec 31 2010 12:00AM"
CO91,Annual,2011,71,98,80,-9,-9,-9,-9,-9,-9,-9.000,-9,-9,-9.000,42129.3,107.202,32,368,"Dec 31 2010 12:00AM","Jan  3 2012 12:00AM"
CO91,Annual,2012,75,98,79,1.8231084,0.1560318,0.1888806,0.2381538,1.3796496,5.2065348,2.248,0.3613368,3.1124238,.039,33653.7,82.122,30,364,"Jan  3 2012 12:00AM","Jan  1 2013 12:00AM"
CO91,Annual,2013,74,100,82,-9,-9,-9,-9,-9,-9,-9.000,-9,-9,-9.000,53354.8,116.001,39,364,"Jan  1 2013 12:00AM","Dec 31 2013 12:00AM"
CO91,Annual,2014,75,98,80,2.1485165,0.1898689,0.2897999,0.4097171,1.6688477,5.8459635,2.617,0.599586,3.7873849,.049,46063.5,99.931,34,364,"Dec 31 2013 12:00AM","Dec 30 2014 12:00AM"
CO91,Annual,2015,79,100,76,1.816104,0.1816104,0.2572814,0.4842944,2.0128486,7.491429,3.256,0.7869784,4.4948574,.094,59650.0,151.342,37,364,"Dec 30 2014 12:00AM","Dec 29 2015 12:00AM"
CO91,Annual,2016,71,96,72,-9,-9,-9,-9,-9,-9,-9.000,-9,-9,-9.000,44668.4,105.818,32,371,"Dec 29 2015 12:00AM","Jan  3 2017 12:00AM"
CO91,Annual,2017,65,73,98,-9,-9,-9,-9,-9,-9,-9.000,-9,-9,-9.000,37831.6,57.959,22,364,"Jan  3 2017 12:00AM","Jan  2 2018 12:00AM"
CO91,Annual,2018,78,96,93,1.4116298,0.1261792,0.1813826,0.2444722,1.2460196,4.3926134,1.960,0.3785376,1.932119,.039,46178.4,78.862,31,362,"Jan  2 2018 12:00AM","Dec 21 2018 12:00AM"
CO91,Annual,2019,58,98,72,-9,-9,-9,-9,-9,-9,-9.000,-9,-9,-9.000,43605.8,99.612,25,364,"Dec 21 2018 12:00AM","Dec 31 2019 12:00AM"
CO91,Annual,2020,49,76,47,-9,-9,-9,-9,-9,-9,-9.000,-9,-9,-9.000,20280.1,81.199,15,368,"Dec 31 2019 12:00AM","Dec 29 2020 12:00AM"
CO91,Annual,2021,74,99,100,-9,-9,-9,-9,-9,-9,-9.000,-9,-9,-9.000,41501.8,112.334,31,370,"Dec 29 2020  6:20PM","Jan  3 2022 10:00PM"
CO91,Annual,2022,78,97,89,1.4665896,0.1296984,0.1895592,0.24942,1.5164736,5.0981448,2.330,0.3791184,2.4243624,.044,49695.7,99.768,29,366,"Jan  3 2022 10:00PM","Jan  4 2023  6:39PM"
CO91,Annual,2023,67,97,84,-9,-9,-9,-9,-9,-9,-9.000,-9,-9,-9.000,37796.0,78.808,28,363,"Jan  4 2023  6:39PM","Jan  2 2024 10:25PM"
CO91,Annual,2024,63,99,78,-9,-9,-9,-9,-9,-9,-9.000,-9,-9,-9.000,42332.2,103.467,27,364,"Jan  2 2024 10:25PM","Dec 31 2024  7:52PM"
