"","lake","date","depth_m","parameter","value"
"1","LowerFourmile",2024-07-18,0.25,"barometer_mmHg",513.4
"2","LowerFourmile",2024-07-18,0.25,"chla_RFU",-0.06
"3","LowerFourmile",2024-07-18,0.25,"cond_spec_uScm",23.9
"4","LowerFourmile",2024-07-18,0.25,"cond_uScm",19.6
"5","LowerFourmile",2024-07-18,0.25,"do_mgL",7.46
"6","LowerFourmile",2024-07-18,0.25,"do_percent",75
"7","LowerFourmile",2024-07-18,0.25,"orp_mV",375.2
"8","LowerFourmile",2024-07-18,0.25,"pH",7.61
"9","LowerFourmile",2024-07-18,0.25,"phycoC_RFU",-0.13
"10","LowerFourmile",2024-07-18,0.25,"temp_C",15.614
"11","LowerFourmile",2024-07-18,0.5,"barometer_mmHg",513.5
"12","LowerFourmile",2024-07-18,0.5,"chla_RFU",-0.06
"13","LowerFourmile",2024-07-18,0.5,"cond_spec_uScm",23.9
"14","LowerFourmile",2024-07-18,0.5,"cond_uScm",19.6
"15","LowerFourmile",2024-07-18,0.5,"do_mgL",7.48
"16","LowerFourmile",2024-07-18,0.5,"do_percent",75
"17","LowerFourmile",2024-07-18,0.5,"orp_mV",375.3
"18","LowerFourmile",2024-07-18,0.5,"pH",7.61
"19","LowerFourmile",2024-07-18,0.5,"phycoC_RFU",-0.13
"20","LowerFourmile",2024-07-18,0.5,"temp_C",15.509
"21","LowerFourmile",2024-07-18,1.25,"barometer_mmHg",513.4
"22","LowerFourmile",2024-07-18,1.25,"chla_RFU",-0.07
"23","LowerFourmile",2024-07-18,1.25,"cond_spec_uScm",23.9
"24","LowerFourmile",2024-07-18,1.25,"cond_uScm",19.5
"25","LowerFourmile",2024-07-18,1.25,"do_mgL",7.49
"26","LowerFourmile",2024-07-18,1.25,"do_percent",74.9
"27","LowerFourmile",2024-07-18,1.25,"orp_mV",375.3
"28","LowerFourmile",2024-07-18,1.25,"pH",7.61
"29","LowerFourmile",2024-07-18,1.25,"phycoC_RFU",-0.13
"30","LowerFourmile",2024-07-18,1.25,"temp_C",15.394
"31","LowerFourmile",2024-07-18,1.5,"barometer_mmHg",513.4
"32","LowerFourmile",2024-07-18,1.5,"chla_RFU",-0.08
"33","LowerFourmile",2024-07-18,1.5,"cond_spec_uScm",23.9
"34","LowerFourmile",2024-07-18,1.5,"cond_uScm",19.5
"35","LowerFourmile",2024-07-18,1.5,"do_mgL",7.49
"36","LowerFourmile",2024-07-18,1.5,"do_percent",74.8
"37","LowerFourmile",2024-07-18,1.5,"orp_mV",375.3
"38","LowerFourmile",2024-07-18,1.5,"pH",7.61
"39","LowerFourmile",2024-07-18,1.5,"phycoC_RFU",-0.13
"40","LowerFourmile",2024-07-18,1.5,"temp_C",15.305
"41","LowerFourmile",2024-07-18,1.75,"barometer_mmHg",513.55
"42","LowerFourmile",2024-07-18,1.75,"chla_RFU",-0.075
"43","LowerFourmile",2024-07-18,1.75,"cond_spec_uScm",23.9
"44","LowerFourmile",2024-07-18,1.75,"cond_uScm",19.4
"45","LowerFourmile",2024-07-18,1.75,"do_mgL",7.495
"46","LowerFourmile",2024-07-18,1.75,"do_percent",74.65
"47","LowerFourmile",2024-07-18,1.75,"orp_mV",375.35
"48","LowerFourmile",2024-07-18,1.75,"pH",7.605
"49","LowerFourmile",2024-07-18,1.75,"phycoC_RFU",-0.12
"50","LowerFourmile",2024-07-18,1.75,"temp_C",15.1725
"51","LowerFourmile",2024-07-18,2,"barometer_mmHg",513.5
"52","LowerFourmile",2024-07-18,2,"chla_RFU",-0.06
"53","LowerFourmile",2024-07-18,2,"cond_spec_uScm",24
"54","LowerFourmile",2024-07-18,2,"cond_uScm",19.4
"55","LowerFourmile",2024-07-18,2,"do_mgL",7.51
"56","LowerFourmile",2024-07-18,2,"do_percent",74.4
"57","LowerFourmile",2024-07-18,2,"orp_mV",375.5
"58","LowerFourmile",2024-07-18,2,"pH",7.6
"59","LowerFourmile",2024-07-18,2,"phycoC_RFU",-0.14
"60","LowerFourmile",2024-07-18,2,"temp_C",14.959
"61","LowerFourmile",2024-07-18,2.25,"barometer_mmHg",513.5
"62","LowerFourmile",2024-07-18,2.25,"chla_RFU",-0.015
"63","LowerFourmile",2024-07-18,2.25,"cond_spec_uScm",24.6
