lake,date,depth_m,parameter,value
LowerFourmile,2024-09-06,0.25,barometer_mmHg,513.2
LowerFourmile,2024-09-06,0.25,chla_RFU,0.19
LowerFourmile,2024-09-06,0.25,cond_spec_uScm,29.9
LowerFourmile,2024-09-06,0.25,cond_uScm,25.1
LowerFourmile,2024-09-06,0.25,do_mgL,9.17
LowerFourmile,2024-09-06,0.25,do_percent,94.1
LowerFourmile,2024-09-06,0.25,orp_mV,89.4
LowerFourmile,2024-09-06,0.25,pH,8.68
LowerFourmile,2024-09-06,0.25,phycoC_RFU,0.38
LowerFourmile,2024-09-06,0.25,temp_C,16.613
LowerFourmile,2024-09-06,0.5,barometer_mmHg,513.2
LowerFourmile,2024-09-06,0.5,chla_RFU,0.19
LowerFourmile,2024-09-06,0.5,cond_spec_uScm,30
LowerFourmile,2024-09-06,0.5,cond_uScm,25.1
LowerFourmile,2024-09-06,0.5,do_mgL,9.17
LowerFourmile,2024-09-06,0.5,do_percent,94.1
LowerFourmile,2024-09-06,0.5,orp_mV,89.5
LowerFourmile,2024-09-06,0.5,pH,8.68
LowerFourmile,2024-09-06,0.5,phycoC_RFU,0.35
LowerFourmile,2024-09-06,0.5,temp_C,16.603
LowerFourmile,2024-09-06,1.25,barometer_mmHg,513.2
LowerFourmile,2024-09-06,1.25,chla_RFU,0.21
LowerFourmile,2024-09-06,1.25,cond_spec_uScm,30.9
LowerFourmile,2024-09-06,1.25,cond_uScm,25
LowerFourmile,2024-09-06,1.25,do_mgL,9.38
LowerFourmile,2024-09-06,1.25,do_percent,93.1
LowerFourmile,2024-09-06,1.25,orp_mV,89.3
LowerFourmile,2024-09-06,1.25,pH,8.82
LowerFourmile,2024-09-06,1.25,phycoC_RFU,0.34
LowerFourmile,2024-09-06,1.25,temp_C,14.885
LowerFourmile,2024-09-06,1.5,barometer_mmHg,513.3
LowerFourmile,2024-09-06,1.5,chla_RFU,0.22
LowerFourmile,2024-09-06,1.5,cond_spec_uScm,31.05
LowerFourmile,2024-09-06,1.5,cond_uScm,24.9
LowerFourmile,2024-09-06,1.5,do_mgL,9.425
LowerFourmile,2024-09-06,1.5,do_percent,92.85
LowerFourmile,2024-09-06,1.5,orp_mV,89.05
LowerFourmile,2024-09-06,1.5,pH,8.85
LowerFourmile,2024-09-06,1.5,phycoC_RFU,0.335
LowerFourmile,2024-09-06,1.5,temp_C,14.6465
LowerFourmile,2024-09-06,1.75,barometer_mmHg,513.2
LowerFourmile,2024-09-06,1.75,chla_RFU,0.24
LowerFourmile,2024-09-06,1.75,cond_spec_uScm,30.8
LowerFourmile,2024-09-06,1.75,cond_uScm,24.65
LowerFourmile,2024-09-06,1.75,do_mgL,9.4
LowerFourmile,2024-09-06,1.75,do_percent,92.4
