lake,date,depth_m,parameter,value
TurkeyCreek,2025-07-16,0,barometer_mmHg,511.6
TurkeyCreek,2025-07-16,0,chla_RFU,-0.02
TurkeyCreek,2025-07-16,0,cond_spec_uScm,23.9
TurkeyCreek,2025-07-16,0,cond_uScm,19.9
TurkeyCreek,2025-07-16,0,do_mgL,8.13
TurkeyCreek,2025-07-16,0,do_percent,82.6
TurkeyCreek,2025-07-16,0,phycoC_RFU,0.05
TurkeyCreek,2025-07-16,0,temp_C,16.147
TurkeyCreek,2025-07-16,0.25,barometer_mmHg,511.7
TurkeyCreek,2025-07-16,0.25,chla_RFU,-0.02
TurkeyCreek,2025-07-16,0.25,cond_spec_uScm,24
TurkeyCreek,2025-07-16,0.25,cond_uScm,19.9
TurkeyCreek,2025-07-16,0.25,do_mgL,8.14
TurkeyCreek,2025-07-16,0.25,do_percent,82.55
TurkeyCreek,2025-07-16,0.25,phycoC_RFU,0.08
TurkeyCreek,2025-07-16,0.25,temp_C,16.0715
TurkeyCreek,2025-07-16,1,barometer_mmHg,511.6
TurkeyCreek,2025-07-16,1,chla_RFU,0.02
TurkeyCreek,2025-07-16,1,cond_spec_uScm,23.9
TurkeyCreek,2025-07-16,1,cond_uScm,19.7
TurkeyCreek,2025-07-16,1,do_mgL,8.15
TurkeyCreek,2025-07-16,1,do_percent,82.3
TurkeyCreek,2025-07-16,1,phycoC_RFU,0.12
TurkeyCreek,2025-07-16,1,temp_C,15.86
TurkeyCreek,2025-07-16,1.25,barometer_mmHg,511.6
TurkeyCreek,2025-07-16,1.25,chla_RFU,0.005
TurkeyCreek,2025-07-16,1.25,cond_spec_uScm,23.9
TurkeyCreek,2025-07-16,1.25,cond_uScm,19.5
TurkeyCreek,2025-07-16,1.25,do_mgL,8.254999999999999
TurkeyCreek,2025-07-16,1.25,do_percent,82.55
TurkeyCreek,2025-07-16,1.25,phycoC_RFU,0.22499999999999998
TurkeyCreek,2025-07-16,1.25,temp_C,15.387
TurkeyCreek,2025-07-16,1.5,barometer_mmHg,511.6
TurkeyCreek,2025-07-16,1.5,chla_RFU,-0.02
TurkeyCreek,2025-07-16,1.5,cond_spec_uScm,23.9
TurkeyCreek,2025-07-16,1.5,cond_uScm,19.4
TurkeyCreek,2025-07-16,1.5,do_mgL,8.34
TurkeyCreek,2025-07-16,1.5,do_percent,83.1
TurkeyCreek,2025-07-16,1.5,phycoC_RFU,0.33
TurkeyCreek,2025-07-16,1.5,temp_C,15.2215
TurkeyCreek,2025-07-16,1.75,barometer_mmHg,511.6
TurkeyCreek,2025-07-16,1.75,chla_RFU,-0.01
TurkeyCreek,2025-07-16,1.75,cond_spec_uScm,23.9
TurkeyCreek,2025-07-16,1.75,cond_uScm,19.4
TurkeyCreek,2025-07-16,1.75,do_mgL,8.38
TurkeyCreek,2025-07-16,1.75,do_percent,83.4
TurkeyCreek,2025-07-16,1.75,phycoC_RFU,0.34
TurkeyCreek,2025-07-16,1.75,temp_C,15.142
TurkeyCreek,2025-07-16,2.5,barometer_mmHg,511.6
TurkeyCreek,2025-07-16,2.5,chla_RFU,-0.04
TurkeyCreek,2025-07-16,2.5,cond_spec_uScm,24
TurkeyCreek,2025-07-16,2.5,cond_uScm,19.4
TurkeyCreek,2025-07-16,2.5,do_mgL,8.36
TurkeyCreek,2025-07-16,2.5,do_percent,82.9
TurkeyCreek,2025-07-16,2.5,phycoC_RFU,0.26
