lake,date,depth_m,parameter,value
UpperFourmile,2024-09-07,0.25,barometer_mmHg,504.1
UpperFourmile,2024-09-07,0.25,chla_RFU,0.02
UpperFourmile,2024-09-07,0.25,cond_spec_uScm,20.9
UpperFourmile,2024-09-07,0.25,cond_uScm,16.4
UpperFourmile,2024-09-07,0.25,do_mgL,8.03
UpperFourmile,2024-09-07,0.25,do_percent,77.6
UpperFourmile,2024-09-07,0.25,orp_mV,165.9
UpperFourmile,2024-09-07,0.25,pH,7.56
UpperFourmile,2024-09-07,0.25,phycoC_RFU,-0.15
UpperFourmile,2024-09-07,0.25,temp_C,13.818
UpperFourmile,2024-09-07,0.5,barometer_mmHg,504.1
UpperFourmile,2024-09-07,0.5,chla_RFU,0.08
UpperFourmile,2024-09-07,0.5,cond_spec_uScm,20.9
UpperFourmile,2024-09-07,0.5,cond_uScm,16.5
UpperFourmile,2024-09-07,0.5,do_mgL,8.02
UpperFourmile,2024-09-07,0.5,do_percent,77.5
UpperFourmile,2024-09-07,0.5,orp_mV,165.9
UpperFourmile,2024-09-07,0.5,pH,7.55
UpperFourmile,2024-09-07,0.5,phycoC_RFU,-0.14
UpperFourmile,2024-09-07,0.5,temp_C,13.815
UpperFourmile,2024-09-07,0.75,barometer_mmHg,504.1
UpperFourmile,2024-09-07,0.75,chla_RFU,0.07
UpperFourmile,2024-09-07,0.75,cond_spec_uScm,20.9
UpperFourmile,2024-09-07,0.75,cond_uScm,16.5
UpperFourmile,2024-09-07,0.75,do_mgL,8.01
UpperFourmile,2024-09-07,0.75,do_percent,77.4
UpperFourmile,2024-09-07,0.75,orp_mV,165.7
UpperFourmile,2024-09-07,0.75,pH,7.55
UpperFourmile,2024-09-07,0.75,phycoC_RFU,-0.15
UpperFourmile,2024-09-07,0.75,temp_C,13.808
UpperFourmile,2024-09-07,1,barometer_mmHg,504.1
UpperFourmile,2024-09-07,1,chla_RFU,0.09
UpperFourmile,2024-09-07,1,cond_spec_uScm,21
UpperFourmile,2024-09-07,1,cond_uScm,16.5
UpperFourmile,2024-09-07,1,do_mgL,8
UpperFourmile,2024-09-07,1,do_percent,77.3
UpperFourmile,2024-09-07,1,orp_mV,165.64999999999998
UpperFourmile,2024-09-07,1,pH,7.54
UpperFourmile,2024-09-07,1,phycoC_RFU,-0.15
UpperFourmile,2024-09-07,1,temp_C,13.806
UpperFourmile,2024-09-07,1.25,barometer_mmHg,504.1
UpperFourmile,2024-09-07,1.25,chla_RFU,0.19
UpperFourmile,2024-09-07,1.25,cond_spec_uScm,20.9
