Sample ID,Sample Details,Test,Results,Units,QC Pro result,Date and Time,Accepted,Flag,Notes
10,20240716_TUC_LS_FU_1,nitrate+nitrite,0.024,mg/L, ,9/5/25 17:03,20250909,,
10,20240716_TUC_LS_FU_1,ammonia-N,0.379,mg/L, ,9/5/25 18:00,20250909,,
10,20240716_TUC_LS_FU_1,Orthophosphate low - modified,2.134,ug P/L, ,8/27/25 19:08,20250909,,
Duplicate,20240716_TUC_LS_FU_2,nitrate+nitrite,0.024,mg/L,2.21,9/5/25 17:05,20250909,,
Duplicate,20240716_TUC_LS_FU_2,ammonia-N,-0.056,mg/L,209.15,9/5/25 15:28,20250909,,
Duplicate,20240716_TUC_LS_FU_2,Orthophosphate low - modified,2.784,ug P/L,26.45,8/27/25 19:10,20250909,Y,
2,20240717_TUC_IN1_FU_1,nitrate+nitrite,0.027,mg/L, ,9/5/25 16:32,20250909,,
2,20240717_TUC_IN1_FU_1,ammonia-N,-0.055,mg/L, ,9/5/25 15:06,20250909,,
2,20240717_TUC_IN1_FU_1,Orthophosphate low - modified,13.048,ug P/L, ,9/5/25 16:03,20250909,,
2,20240717_TUC_IN1_FU_1,Orthophosphate low - modified,14.799,ug P/L, ,8/27/25 18:47,20250909,,
Duplicate,20240717_TUC_IN1_FU_2,nitrate+nitrite,0.028,mg/L,2.44,9/5/25 16:34,20250909,,
Duplicate,20240717_TUC_IN1_FU_2,ammonia-N,-0.045,mg/L,20.35,9/5/25 15:07,20250909,,
Duplicate,20240717_TUC_IN1_FU_2,Orthophosphate low - modified,13.817,ug P/L,5.73,9/5/25 16:04,20250909,,
Duplicate,20240717_TUC_IN1_FU_2,Orthophosphate low - modified,13.162,ug P/L,11.71,8/27/25 18:48,20250909,,
3,20240717_TUC_IN2_FU_1,nitrate+nitrite,0.027,mg/L, ,9/5/25 16:36,20250909,,
3,20240717_TUC_IN2_FU_1,ammonia-N,0.022,mg/L, ,9/5/25 15:08,20250909,,
3,20240717_TUC_IN2_FU_1,Orthophosphate low - modified,12.079,ug P/L, ,9/5/25 16:06,20250909,,
3,20240717_TUC_IN2_FU_1,Orthophosphate low - modified,8.403,ug P/L, ,8/27/25 18:50,20250909,,
Duplicate,20240717_TUC_IN2_FU_2,nitrate+nitrite,0.022,mg/L,24.25,9/5/25 16:38,20250909,,
Duplicate,20240717_TUC_IN2_FU_2,ammonia-N,-0.017,mg/L,1747.08,9/5/25 15:10,20250909,,
Duplicate,20240717_TUC_IN2_FU_2,Orthophosphate low - modified,8.462,ug P/L,35.22,9/5/25 16:06,20250909,,
Duplicate,20240717_TUC_IN2_FU_2,Orthophosphate low - modified,9.651,ug P/L,13.82,8/27/25 18:51,20250909,,
4,20240717_TUC_IN3_FU_1,nitrate+nitrite,0.031,mg/L, ,9/5/25 16:40,20250909,,
4,20240717_TUC_IN3_FU_1,ammonia-N,-0.054,mg/L, ,9/5/25 15:11,20250909,,
4,20240717_TUC_IN3_FU_1,Orthophosphate low - modified,5.578,ug P/L, ,8/27/25 18:52,20250909,,
Duplicate,20240717_TUC_IN3_FU_2,nitrate+nitrite,0.03,mg/L,3.08,9/5/25 16:41,20250909,,
Duplicate,20240717_TUC_IN3_FU_2,ammonia-N,0.877,mg/L,226.26,9/5/25 15:12,20250909,Y,
Duplicate,20240717_TUC_IN3_FU_2,Orthophosphate low - modified,5.527,ug P/L,0.92,8/27/25 18:54,20250909,,
5,20240717_TUC_IN4_FU_1,nitrate+nitrite,0.02,mg/L, ,9/5/25 16:43,20250909,,
5,20240717_TUC_IN4_FU_1,ammonia-N,-0.051,mg/L, ,9/5/25 15:14,20250909,,
5,20240717_TUC_IN4_FU_1,Orthophosphate low - modified,6.985,ug P/L, ,8/27/25 18:55,20250909,,
Duplicate,20240717_TUC_IN4_FU_2,nitrate+nitrite,0.022,mg/L,10.35,9/5/25 16:45,20250909,,
Duplicate,20240717_TUC_IN4_FU_2,ammonia-N,-0.05,mg/L,3.6,9/5/25 15:15,20250909,,
Duplicate,20240717_TUC_IN4_FU_2,Orthophosphate low - modified,7.516,ug P/L,7.32,8/27/25 18:56,20250909,,
6,20240717_TUC_IN5_FU_1,nitrate+nitrite,0.022,mg/L, ,9/5/25 16:47,20250909,,
6,20240717_TUC_IN5_FU_1,ammonia-N,-0.048,mg/L, ,9/5/25 15:16,20250909,,
6,20240717_TUC_IN5_FU_1,Orthophosphate low - modified,7.807,ug P/L, ,8/27/25 18:58,20250909,,
Duplicate,20240717_TUC_IN5_FU_2,nitrate+nitrite,0.022,mg/L,1.47,9/5/25 16:49,20250909,,
Duplicate,20240717_TUC_IN5_FU_2,ammonia-N,-0.044,mg/L,8.19,9/5/25 15:18,20250909,,
Duplicate,20240717_TUC_IN5_FU_2,Orthophosphate low - modified,7.764,ug P/L,0.55,8/27/25 18:59,20250909,,
7,20240717_TUC_IN6_FU_1,nitrate+nitrite,0.43,mg/L, ,9/5/25 16:51,20250909,,
7,20240717_TUC_IN6_FU_1,ammonia-N,-0.044,mg/L, ,9/5/25 15:19,20250909,,
7,20240717_TUC_IN6_FU_1,Orthophosphate low - modified,68.601,ug P/L, ,8/27/25 19:00,20250909,,
Duplicate,20240717_TUC_IN6_FU_2,nitrate+nitrite,0.439,mg/L,2.11,9/5/25 16:53,20250909,,
Duplicate,20240717_TUC_IN6_FU_2,ammonia-N,-0.039,mg/L,11.75,9/5/25 15:20,20250909,,
Duplicate,20240717_TUC_IN6_FU_2,Orthophosphate low - modified,68.502,ug P/L,0.14,8/27/25 19:02,20250909,,
8,20240717_TUC_LH_FU_1,nitrate+nitrite,0.026,mg/L, ,9/5/25 16:55,20250909,,
8,20240717_TUC_LH_FU_1,ammonia-N,0.423,mg/L, ,9/5/25 15:22,20250909,,
8,20240717_TUC_LH_FU_1,Orthophosphate low - modified,4.13,ug P/L, ,8/27/25 19:03,20250909,,
