#  Southwest July-September Precipitation
# Units: Inches
Date,Value
189509,5.05
189609,5.98
189709,5.63
189809,4.46
189909,4.81
190009,3.96
190109,3.96
190209,4.42
190309,3.88
190409,6.02
190509,4.73
190609,6.23
190709,5.41
190809,5.84
190909,6.8
191009,4.37
191109,6.47
191209,5.24
191309,4.68
191409,5.92
191509,5.46
191609,5.73
191709,4.72
191809,5.05
191909,6.86
192009,4.33
192109,6.63
192209,4.04
192309,6.77
192409,3.45
192509,6.42
192609,4.94
192709,7
192809,3.84
192909,7.5
193009,6.13
193109,5.49
193209,5.52
193309,5.21
193409,3.94
193509,5.44
193609,5.95
193709,4.72
193809,4.98
193909,4.93
194009,5.25
194109,7.23
194209,4.52
194309,4.43
194409,3.83
194509,5.01
194609,5.79
194709,4.47
194809,3.58
194909,4.85
195009,5.2
195109,4.71
195209,4.46
195309,4.2
195409,5.19
195509,5.51
195609,2.85
195709,5.17
195809,5.45
195909,5.05
196009,3.78
196109,6.42
196209,4.22
196309,5.95
196409,4.82
196509,6.31
196609,5.45
196709,6.24
196809,5.29
196909,5.59
197009,5.4
197109,5.76
197209,5.32
197309,4.15
197409,4.77
197509,4.86
197609,5.23
197709,5.56
197809,3.47
197909,3.94
198009,4.36
198109,5.87
198209,6.75
198309,5.76
198409,6.73
198509,5.52
198609,6.17
198709,4.59
198809,5.81
198909,4.64
199009,6.8
199109,6.24
199209,5.14
199309,4.63
199409,4.26
199509,4.47
199609,5.76
199709,6.83
199809,5.71
199909,7.05
200009,3.68
200109,4.36
200209,4.76
200309,3.59
200409,5.24
200509,4.39
200609,7.21
200709,5.36
200809,5.55
200909,3.83
201009,5.17
201109,4.72
201209,4.81
201309,7.92
201409,7.52
201509,5.32
201609,5.11
201709,6.1
201809,4.66
201909,3.56
202009,2.5
202109,5.95
202209,6.11
202309,4
202409,4.07
