"","lake_name","core_number","sample_ID","sample_range","depth_top","depth_bottom","depth_plot","d13C","percent.C","d15N","percent.N","C:N","chlide_a_nmol_gDM","chl_c1_nmol_gDM","chl_c2_nmol_gDM","perid_nmol_gDM","fuco_nmol_gDM","sed_a_nmol_gDM","sed_b_nmol_gDM","sed_c_nmol_gDM","oscil_nmol_gDM","aphan_nmol_gDM","viola_nmol_gDM","diadino_nmol_gDM","myxo_nmol_gDM","allo_nmol_gDM","diato_nmol_gDM","lutein_nmol_gDM","zea_nmol_gDM","cantha_nmol_gDM","chl_b_nmol_gDM","okenone_nmol_gDM","chl_a_nmol_gDM","chl_ap_nmol_gDM","echine_nmol_gDM","isoren_nmol_gDM","phaeo_b_nmol_gDM","pheo_a_nmol_gDM","a_car_nmol_gDM","b_car_nmol_gDM","car_x_nmol_gDM","car_y_nmol_gDM","car_z_nmol_gDM","chlide_a_nmol_gTC","chl_c1_nmol_gTC","chl_c2_nmol_gTC","perid_nmol_gTC","fuco_nmol_gTC","sed_a_nmol_gTC","sed_b_nmol_gTC","sed_c_nmol_gTC","oscil_nmol_gTC","aphan_nmol_gTC","viola_nmol_gTC","diadino_nmol_gTC","myxo_nmol_gTC","allo_nmol_gTC","diato_nmol_gTC","lutein_nmol_gTC","zea_nmol_gTC","cantha_nmol_gTC","chl_b_nmol_gTC","okenone_nmol_gTC","chl_a_nmol_gTC","chl_ap_nmol_gTC","echine_nmol_gTC","isoren_nmol_gTC","phaeo_b_nmol_gTC","pheo_a_nmol_gTC","a_car_nmol_gTC","b_car_nmol_gTC","car_x_nmol_gTC","car_y_nmol_gTC","car_z_nmol_gTC","year_CE"
"1","Turkey Creek Lake",2,"TRK2_004","1.5-2",1.5,2,1.75,-28.5004692666529,8.08192219219441,0.119537647641286,0.864533811148274,9.34830088537544,0,0,0,0,7.81295960413601,0,0,0,0,0,0,0,0,40.7914914314761,13.449770474699,15.9960199136817,0,0,65.5978815232269,0,124.133362241333,61.281457815928,9.3966779102699,0,151.900432253592,32.6105280778532,0,59.0000818365648,0,0,0,0,0,0,0,96.672046801958,0,0,0,0,0,0,0,0,504.725119364214,166.417965365825,197.923458470447,0,0,811.661878984456,0,1535.93859591004,758.253499088548,116.267859140556,0,1879.50871885773,403.499653948026,0,730.025363193271,0,0,0,2017.99011199856
"2","Turkey Creek Lake",2,"TRK2_006","2.5-3",2.5,3,2.75,-28.5691870781045,8.88401517170349,-0.287459272949672,0.852104081263501,10.4259742055575,0,0,0,0,11.5401635408839,0,0,0,0,0,0,0,0,30.8312232644461,6.70644331602828,6.82534493428873,0,0,111.687253389945,0,182.633119643458,14.4005974119272,8.2348502298516,0,211.045996397004,117.361021576971,0,34.9099291377245,0,0,0,0,0,0,0,129.898062056901,0,0,0,0,0,0,0,0,347.041542236969,75.4888773421842,76.8272543706156,0,0,1257.17089887104,0,2055.74974956328,162.095596794956,92.6928879644472,0,2375.5699682865,1321.03580766924,0,392.952155787805,0,0,0,2013.55385430075
"3","Turkey Creek Lake",2,"TRK2_008","3.5-4",3.5,4,3.75,-28.5016078280707,8.94263102637061,-0.150396963923353,0.784487601174197,11.3993274246598,0,0,0,0,5.51244605676156,0,0,0,0,0,0,0,0,32.1223251200668,11.4074241436901,8.72737697619234,0,0,21.6642663956892,0,81.7402613371268,6.23459097753048,4.6772554888886,0,195.066258400841,166.649119863367,0,47.2810881838488,0,0,0,0,0,0,0,61.6423292038563,0,0,0,0,0,0,0,0,359.204411155312,127.562281279985,97.5929449672751,0,0,242.258305545697,0,914.051592826382,69.7176363325906,52.3029014067114,0,2181.30724420607,1863.53567951021,0,528.715632395246,0,0,0,2009.0507000786
"4","Turkey Creek Lake",2,"TRK2_010","4.5-5",4.5,5,4.75,-27.5475402353207,14.6772290795372,0.787839896577688,0.588255181849422,24.9504458819951,0,0,0,0,2.66548645215551,0,0,0,0,0,0,0,0,6.51169559314503,1.69879875368359,1.5918329184742,0,0,5.40266565871533,0,11.4619667700821,0.530200545844125,3.59551586702696,0,43.6504693678857,33.3960669885763,0,6.77354668494801,0,0,0,0,0,0,0,18.1606925783539,0,0,0,0,0,0,0,0,44.3659736988336,11.5743833149816,10.8455956492055,0,0,36.8098476179517,0,78.0935332409728,3.6124021977917,24.4972388694252,0,297.402657758763,227.536592960429,0,46.150037232788,0,0,0,2002.9230679218
"5","Turkey Creek Lake",2,"TRK2_012","5.5-6",5.5,6,5.75,-27.5537043207783,10.9393626027162,0.899608376138015,0.618920461681857,17.6749086190971,0,0,0,0,5.89870086418975,0,0,0,0,0,0,0,0,19.0780776572766,8.70110239099941,3.15660216221278,0,0,21.7557881601617,0,34.605802172474,1.69364082315016,1.61543978574619,0,120.271849648391,91.3119427416639,0,35.0333953385396,0,0,0,0,0,0,0,53.9217967116761,0,0,0,0,0,0,0,0,174.398439380184,79.5393909773039,28.855448684268,0,0,198.876195535925,0,316.342034076844,15.4820795749986,14.7672203986097,0,1099.4411102026,834.709900913162,0,320.250791667157,0,0,0,1998.13055680618
"6","Turkey Creek Lake",2,"TRK2_014","6.5-7",6.5,7,6.75,-26.9533951656771,8.62974130601966,1.31898743606708,0.543399919843123,15.8811166187122,0,0,0,0,1.27992120126343,0,0,0,0,0,0,0,0,16.7169237591994,3.49443340366416,5.8013742814133,0,0,3.19156538067913,0,34.3338014623784,1.77841546775195,0.968823094228669,0,73.1365000771397,32.4606019730178,0,17.4347165638287,0,0,0,0,0,0,0,14.8315129721284,0,0,0,0,0,0,0,0,193.712918688983,40.4929102709791,67.2253556125322,0,0,36.9833262377501,0,397.854353275096,20.607981220844,11.2265601003922,0,847.493539883095,376.148030652726,0,202.030581747186,0,0,0,1994.67316673172
"7","Turkey Creek Lake",2,"TRK2_016","7.5-8",7.5,8,7.75,-26.8134131225875,8.7006618707405,1.3657101200435,0.557577516932466,15.6043986827294,0,0,0,0,3.10448675983283,0,0,0,0,0,0,0,0,19.089594960602,5.30320629462138,5.10896951335343,0,0,2.2366765593049,0,23.0295820050444,1.408772462729,0.862378289823791,0,103.914262417345,45.5930967643877,0,21.9053206890148,0,0,0,0,0,0,0,35.6810413501175,0,0,0,0,0,0,0,0,219.403940116308,60.9517571583326,58.7193203144051,0,0,25.706970257362,0,264.687702466529,16.1915551214164,9.91164008710518,0,1194.3259485442,524.0187176761,0,251.766141638952,0,0,0,1991.18119387513
"8","Turkey Creek Lake",2,"TRK2_018","8.5-9",8.5,9,8.75,-27.043924947927,7.4499081260414,0.407740837079546,0.658053142243733,11.3211344917217,0,0,0,0,11.7412913568333,0,0,0,0,0,0,0,0,26.6480090418409,7.52697519235721,4.44301948965404,0,0,24.0010947882815,0,50.5030399184571,2.93667410565294,3.65253966975086,0,99.5471269290648,79.0701244827062,0,31.3725196195774,0,0,0,0,0,0,0,157.603169840326,0,0,0,0,0,0,0,0,357.695807666298,101.034470023146,59.6385809661641,0,0,322.166319130633,0,677.901513200171,39.4189304883867,49.0279827342203,0,1336.21952438708,1061.35704152262,0,421.112839095475,0,0,0,1987.6546382364
"9","Turkey Creek Lake",2,"TRK2_020","9.5-10",9.5,10,9.75,-27.72525595767,6.2890295140571,0.863177206946473,0.601307926719226,10.4589166957609,0,0,0,0,9.78134638293739,0,0,0,0,0,0,0,0,22.642300856082,12.9052082324242,4.74142351662382,0,0,14.5224056319039,0,78.4313701571844,3.27369606546994,3.89294616703604,0,42.3169651459121,98.3195414456225,0,33.9400357546711,0,0,0,0,0,0,0,155.530298610848,0,0,0,0,0,0,0,0,360.028535491405,205.201902830616,75.3919743264981,0,0,230.916480824963,0,1247.11404171147,52.0540738146108,61.9005867015667,0,672.869558829803,1563.34997674698,0,539.670479822189,0,0,0,1982.20911542686
"10","Turkey Creek Lake",2,"TRK2_022","10.5-11",10.5,11,10.75,-26.8051248701174,4.02788705586627,1.7678249995505,0.470725937514325,8.55675613953967,0,0,0,0,0,0,0,0,0,0,0,0,0,6.77841667697198,2.15383463713872,1.07461637678488,0,0,4.57282519934927,0,17.4676874152837,4.33151273621598,2.93738339075052,0,7.88695551274285,23.3564212642599,0,6.32360591560421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.287158576103,53.4730643452836,26.679406892003,0,0,113.529131674369,0,433.668749222835,107.538088236797,72.9261607887559,0,195.808755393381,579.867829964182,0,156.995611542643,0,0,0,1976.12393689371
